"5948","本資料集主要提供3+2郵遞區號資料","ZipCode(區域號碼)、City(縣、市名)、Area(鄉、鎮、市及區名)、Road(街、路段巷名)及\tScope(號弄名)"
"5949","中華郵政公司郵務業務相關資訊，主要提供縣市鄉鎮中英對照Excel檔(漢語拼音,csv檔)","3碼區域號碼、縣市鄉鎮中文名、縣市鄉鎮英文名"
"5956","提供駐外地當地活動訊息","標題、日期、摘要、連結"
"5957","職業傷病防治中心提供勞工就近性之職業傷病預防、工作因果關係診斷及復工評估、復健轉介及健康與補償法令之諮詢。","區域、醫院名稱、聯絡人、聯絡電話、醫院地址"
"5959","行政院及所屬機關涉及人民權益之法令等重要事項，主要內容有法規、行政規則、公告及送達、處分、特載（總統文告及院長談話）、轉載（經總統公布之條約、法律、緊急命令）、專載（院會院長提示、決定、決議事項）及其他等8大類。","公報類型、編輯分類(篇名)、公告機關、承辦機關、發文日期、發文字號、標題、英文標題、主旨、依據、關鍵字、英文關鍵字、公告事項、表示意見截止日、內容主題、施政分類、服務分類、附件個數、內容網頁連結、英文網址連結。"
"5972","年度中小企業家數、銷售值、出口值及就業人數統計資料","按行業及規模別統計年度全體企業家數，及大企業與中小企業之家數及比率"
"5988","有因政府採購法第101條之情形，而經機關依同法第102條規定刊登於政府採購公報之紀錄","廠商代碼、標案案號、廠商名稱、廠商地址、廠商國別、刊登機關代碼、刊登機關名稱、機關地址、聯絡人、聯絡電話、標案名稱、符合政府採購法第101條所列之情形、原始公告日期、公告日期、拒絕往來生效日、政府採購法第103條第一項所規定之期間、拒絕往來截止日、異議或申訴結果"
"6006","文化部整合各公、民營單位之獨立音樂活動資訊。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度等。\n"
"6007","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之公開徵選活動資訊，如金鼎獎、美展、創意大賞等。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6008","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6009","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之具有表演、美食、講座、旅遊…等綜合類型之整合活動。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
