"5957","職業傷病防治中心提供勞工就近性之職業傷病預防、工作因果關係診斷及復工評估、復健轉介及健康與補償法令之諮詢。","區域、醫院名稱、聯絡人、聯絡電話、醫院地址"
"5962","行政院及所屬各級機關(構、全國各地方縣市政府為提升為民服務品質及滿足民眾外出活動或洽公等候的連網需求，於各地選定部分機關(構)對外開放的室內公共區域，設置逾6千餘個WiFi熱點，包含洽公場所、旅遊景點、交通運輸節點、文教館所、公立醫院等，提供民眾免費無線上網基本資訊服務。本服務提供條件查詢功能，民眾可利用四項篩選條件(提供機關、關鍵字、縣市別、場所別)查詢熱點，並下載熱點查詢結果(主管機關、地區、熱點名稱、地址、緯度及經度)，找到iTaiwan免費無線上網服務公共場所。","主管機關、地區、熱點名稱、地址、緯度、經度"
"6006","文化部整合各公、民營單位之獨立音樂活動資訊。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度等。\n"
"6007","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之公開徵選活動資訊，如金鼎獎、美展、創意大賞等。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6008","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之競賽型藝文資訊，如舞蹈、歌唱、繪畫等比賽。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6009","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之具有表演、美食、講座、旅遊…等綜合類型之整合活動。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6010","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之藝文機構電影欣賞節目表。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6011","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之專題演講及藝文座談會等活動\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6012","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之展覽資訊。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6013","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之演唱會資訊。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6014","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之親子類型的藝文資訊。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6015","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之舞蹈類型活動訊息。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6016","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之戲劇表演資訊。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6017","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之音樂劇場表演訊息。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6018","文化部整合本部及所屬各級機關(構)、以及其他公、民營單位之無法隸屬於各類別之資訊，如青年節活動、新書分享等。\n","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度\n"
"6034","提供資料包含：屆數、廠商名稱、電話、得獎商品、售價_規格、認證、商品介紹、銷售通路等欄位資料。","屆數、廠商名稱、電話、得獎商品、售價_規格、認證、商品介紹、銷售通路"
"6036","提供資料包含：步道編號、步道名稱、步道分級、步道系統、子步道系統、管理單位、步道入口等欄位資訊。本資料集所提供之森林步道資訊僅供參考，步道服務現況請依原始資料來源網站為準。","number、name、level、system、second_system、manager、entrance"
"6037","提供資料包含：名稱、地址、電話、主人的話、費用簡介、營業時間、刷卡(True/False)、國民旅遊卡(True/False)、交通指引、停車場、網站連結、業者email、部落格網址、寵物須知、貼心叮嚀、最佳時令、容納人數、美食特色、景點縣市、鄉鎮、座標等欄位資料。","ID、Name、Address、Tel、HostWords、Price、OpenHours、CreditCard、TravelCard、TrafficGuidelines、ParkingLot、Url、Email、BlogUrl、PetNotice、Reminder、FoodMonths、FoodCapacity、FoodFeature、City、Town、Coordinate、PicURL"
